(142, 'Core i9-11900KB', 'FCBGA1787', 14.3, '8 / 16', 2021, '65 W')
(143, 'Core i9-12900TE', 'Intel Socket 1700', 14.27, '16 / 24', 2022, '35 W')
(144, 'Ryzen 7 PRO 3700', 'AMD Socket AM4', 14.25, '8 / 16', 2019, '65 W')
(145, 'Core i9-10900K', 'FCLGA1200', 14.12, '10 / 20', 2020, '125 W')
(146, 'Core i9-11900', 'FCLGA1200', 14.07, '8 / 16', 2021, '65 W')
(147, 'Ryzen 7 3700X', 'AMD Socket AM4', 14.03, '8 / 16', 2019, '65 W')
(148, 'Core i9-10900X', 'FCLGA2066', 14.0, '10 / 20', 2019, '165 W')
(149, 'Core i9-10900KF', 'FCLGA1200', 13.99, '10 / 20', 2020, '125 W')
(150, 'Core i9-10850K', 'FCLGA1200', 13.85, '10 / 20', 2020, '125 W')
(151, 'Core i9-11900F', 'FCLGA1200', 13.83, '8 / 16', 2021, '65 W')
(152, 'Ryzen Threadripper 1950', 'AMD Socket SP3r2', 13.76, '16 / 32', 2017, '180 W')
(153, 'Ryzen Threadripper 1920', 'AMD Socket SP3r2', 13.76, '12 / 24', 2017, '140 W')
(154, 'Core i5-14400T', 'FCLGA1700', 13.68, '10 / 16', 2024, '35 W')
(155, 'Ryzen 5 5600X3D', 'AMD Socket AM4', 13.66, '6 / 12', 2023, '105 W')
(156, 'Ryzen 5 5600X', 'AMD Socket AM4', 13.64, '6 / 12', 2020, '65 W')
(157, 'Ryzen 7 PRO 5750GE', 'AMD Socket AM4', 13.55, '8 / 16', 2021, '35 W')
(158, 'Core i9-9900X', 'FCLGA2066', 13.52, '10 / 20', 2018, '165 W')
(159, 'Core i5-13500TE', 'Intel Socket 1700', 13.5, '14 / 20', 2023, '35 W')
(160, 'Core i5-12600', 'FCLGA1700', 13.45, '6 / 12', 2022, '65 W')
(161, 'Ryzen 5 5600', 'AMD Socket AM4', 13.44, '6 / 12', 2022, '65 W')
(162, 'Core i9-10910', 'FCLGA1200', 13.35, '10 / 20', 2020, '125 W')
(163, 'Core i7-12700T', 'FCLGA1700', 13.31, '12 / 20', 2022, '35 W')
(164, 'Core i9-7900X', 'FCLGA2066', 13.11, '10 / 20', 2017, '140 W')
(165, 'Core i7-11700F', 'FCLGA1200', 13.01, '8 / 16', 2021, '65 W')
(166, 'Core i7-11700', 'FCLGA1200', 12.92, '8 / 16', 2021, '65 W')
(167, 'Ryzen 5 PRO 5650G', 'AMD Socket AM4', 12.91, '6 / 12', 2021, '65 W')
(168, 'Core i5-12500E', 'Intel Socket 1700', 12.9, '6 / 12', 2022, '65 W')
(169, 'Core i9-9820X', 'FCLGA2066', 12.71, '10 / 20', 2018, '165 W')
(170, 'Ryzen 7 PRO 4750G', 'AMD Socket AM4', 12.7, '8 / 16', 2020, '65 W')
(171, 'Core i5-13400T', 'FCLGA1700', 12.65, '10 / 16', 2023, '35 W')
(172, 'Ryzen 5 5600GT', 'AMD Socket AM4', 12.65, '6 / 12', 2024, '65 W')
(173, 'Ryzen 5 5500GT', 'AMD Socket AM4', 12.63, '6 / 12', 2024, '65 W')
(174, 'Ryzen Embedded V3C48', 'AMD Socket FP7', 12.59, '8 / 16', 2022, '45 W')
(175, 'Core i5-12490F', 'Intel Socket 1700', 12.56, '6 / 12', 2022, '65 W')
(176, 'Ryzen 7 4700G', 'AMD Socket AM4', 12.55, '8 / 16', 2020, '65 W')
(177, 'Core i5-12500', 'FCLGA1700', 12.38, '6 / 12', 2022, '65 W')
(178, 'Ryzen 5 5600G', 'AMD Socket AM4', 12.36, '6 / 12', 2021, '65 W')
(179, 'Core i9-10900F', 'FCLGA1200', 12.36, '10 / 20', 2020, '65 W')
(180, 'Ryzen 7 4700GE', 'AMD Socket AM4', 12.32, '8 / 16', 2020, '35 W')
(181, 'Core i9-10900', 'FCLGA1200', 12.22, '10 / 20', 2020, '65 W')
(182, 'Core i5-11600KF', 'FCLGA1200', 12.2, '6 / 12', 2021, '125 W')
(183, 'Core i5-11600K', 'FCLGA1200', 12.19, '6 / 12', 2021, '125 W')
(184, 'Core i5-12400F', 'FCLGA1700', 12.15, '6 / 12', 2022, '65 W')
(185, 'Core i9-10900E', 'Intel Socket 1200', 12.14, '10 / 20', 2020, '65 W')
(186, 'Core i9-9900KS', 'FCLGA1151', 12.12, '8 / 16', 2019, '127 W')
(187, 'Ryzen 5 5500', 'AMD Socket AM4', 12.06, '6 / 12', 2022, '65 W')
(188, 'Core i5-12400', 'FCLGA1700', 12.0, '6 / 12', 2022, '65 W')
(189, 'Core i7-12700TE', 'Intel Socket 1700', 11.83, '12 / 20', 2022, '35 W')
(190, 'Core i9-11900T', 'FCLGA1200', 11.73, '8 / 16', 2021, '35 W')
(191, 'Core i7-10700K', 'FCLGA1200', 11.65, '8 / 16', 2020, '125 W')
(192, 'Ryzen 5 3600XT', 'AMD Socket AM4', 11.61, '6 / 12', 2019, '95 W')
(193, 'Core i7-10700KF', 'FCLGA1200', 11.53, '8 / 16', 2020, '125 W')
(194, 'Ryzen 7 PRO 4750GE', 'AMD Socket AM4', 11.5, '8 / 16', 2020, '35 W')
(195, 'Ryzen 5 PRO 5650GE', 'AMD Socket AM4', 11.44, '6 / 12', 2021, '35 W')
(196, 'Core i9-9900K', 'FCLGA1151', 11.35, '8 / 16', 2018, '95 W')
(197, 'Core i9-9900KF', 'FCLGA1151', 11.34, '8 / 16', 2019, '95 W')
(198, 'Ryzen 5 3600X', 'AMD Socket AM4', 11.33, '6 / 12', 2019, '95 W')
(199, 'Core i7-9800X', 'FCLGA2066', 11.28, '8 / 16', 2018, '165 W')
(200, 'Core i5-11600', 'FCLGA1200', 11.22, '6 / 12', 2021, '65 W')
(201, 'Ryzen 5 3600', 'AMD Socket AM4', 11.05, '6 / 12', 2019, '65 W')
(202, 'Core i5-12600T', 'FCLGA1700', 11.01, '6 / 12', 2022, '35 W')
(203, 'Ryzen 7 2700X', 'AMD Socket AM4', 10.91, '8 / 16', 2018, '105 W')
(204, 'Core i7-6950X', 'FCLGA2011', 10.87, '10 / 20', 2016, '140 W')
(205, 'Core i5-11500', 'FCLGA1200', 10.74, '6 / 12', 2021, '65 W')
(206, 'Core i7-7820X', 'FCLGA2066', 10.69, '8 / 16', 2017, '140 W')
(207, 'Ryzen Embedded V3C18I', 'AMD Socket FP7', 10.63, '8 / 16', 2022, '15 W')
(208, 'Ryzen 7 PRO 2700X', 'Socket AM4', 10.58, '8 / 16', 2018, '105 W')
(209, 'Core i5-11400F', 'FCLGA1200', 10.58, '6 / 12', 2021, '65 W')
(210, 'Core i5-11400', 'FCLGA1200', 10.58, '6 / 12', 2021, '65 W')
(211, 'Ryzen Threadripper 1900X', 'AMD Socket SP3r2', 10.48, '8 / 16', 2017, '125 W')
(212, 'Ryzen Embedded V2748', 'AMD Socket FP6', 10.41, '8 / 16', 2020, '35 W')
(213, 'Core i5-12500T', 'FCLGA1700', 10.28, '6 / 12', 2022, '35 W')
(214, 'Core i9-9900', 'FCLGA1151', 10.21, '8 / 16', 2019, '65 W')
(215, 'Ryzen 7 1800X', 'AMD Socket AM4', 10.19, '8 / 16', 2017, '95 W')
(216, 'Core i7-10700F', 'FCLGA1200', 10.17, '8 / 16', 2020, '125 W')
(217, 'Core i7-10700', 'FCLGA1200', 10.15, '8 / 16', 2020, '65 W')
(218, 'Ryzen Embedded V2546', 'AMD Socket FP6', 10.12, '6 / 12', 2020, '35 W')
(219, 'Ryzen 5 PRO 4650G', 'AMD Socket AM4', 10.06, '6 / 12', 2020, '65 W')
(220, 'Ryzen 5 PRO 4655G', 'AMD Socket AM4', 10.06, '6 / 12', 2022, '65 W')
(221, 'Ryzen 5 4500', 'AMD Socket AM4', 10.05, '6 / 12', 2022, '65 W')
(222, 'Ryzen Embedded V2718', 'AMD Socket FP6', 10.02, '8 / 16', 2020, '10 W')
(223, 'Ryzen 5 4600G', 'AMD Socket AM4', 10.0, '6 / 12', 2020, '65 W')
(224, 'Core i5-12400T', 'FCLGA1700', 9.94, '6 / 12', 2022, '35 W')
(225, 'Ryzen 5 4600GE', 'AMD Socket AM4', 9.83, '6 / 12', 2020, '35 W')
(226, 'Ryzen 7 2700', 'AMD Socket AM4', 9.78, '8 / 16', 2018, '65 W')
